EmployeeID,Name,Department,Role,PerformanceRating,AnnualSalaryINR,salary_resid
AF101400,Ananya Dutta,Finance,Tech Lead,4.0,2066768.0,-0.6464914727071971
AF100291,Rohan Verma,Marketing,VP,4.0,10228575.0,-0.6305306642024426
AF107223,Neha Dutta,IT,Tech Lead,5.0,3601832.0,-0.5937842680092427
AF109810,Arjun Verma,Finance,Tech Lead,4.0,2227456.0,-0.5698012106291159
AF100304,Rahul Sharma,HR,VP,5.0,10955871.0,-0.5491950633797167
AF106167,Kiran Joshi,Operations,Tech Lead,4.0,2026178.0,-0.5407175562333641
AF104183,Deepa Khan,Delivery,Tech Lead,4.0,2340855.0,-0.5269920271460258
AF104804,Priya Dutta,IT,Tech Lead,4.0,2335980.0,-0.5238802455253442
AF102791,Ananya Khan,QA,Senior Manager,5.0,3037187.0,-0.5140519008709763
AF104679,Anil Malhotra,Delivery,VP,4.0,18923441.0,-0.50404768387396
AF100543,Anil Dutta,Consulting,Engineer,4.0,869852.0,-0.5038322766550021
AF102659,Ishaan Das,Delivery,Tech Lead,5.0,2409761.0,-0.4982154737114133
AF106495,Anil Sharma,Operations,Engineer,5.0,1429450.0,-0.4978773650228785
AF105945,Saanvi Das,Marketing,Tech Lead,4.0,3980919.0,-0.4934471117505481
AF101937,Aditya Reddy,Consulting,Tech Lead,4.0,2403701.0,-0.4860940114802137
AF101718,Sara Khan,Finance,Analyst,5.0,416744.0,-0.4850548704813349
AF108640,Neha Patel,Operations,Engineer,4.0,1461452.0,-0.4849200737644832
AF100590,Sunil Reddy,Finance,Tech Lead,4.0,2149302.0,-0.48398722609590905
AF101746,Sara Bose,IT,Engineer,4.0,888624.0,-0.4834804942352555
AF104503,Ishaan Das,HR,Engineer,5.0,1463325.0,-0.48125787764499073
AF106237,Kiran Chaudhary,Finance,Senior Manager,4.0,3140423.0,-0.4810062106898485
AF102571,Deepa Sharma,Marketing,Analyst,4.0,686652.0,-0.4809476111960276
AF109514,Saanvi Chatterjee,QA,Engineer,4.0,890234.0,-0.4777312445431541
AF101931,Anil Reddy,Sales,Tech Lead,4.0,4039562.0,-0.4704969886420187
AF102664,Ritika Sharma,R&D,Tech Lead,4.0,4064853.0,-0.46945479601654583
AF105970,Aditya Singh,QA,Engineer,4.0,1482304.0,-0.46904401876486546
AF109151,Priya Iyer,Consulting,Director,4.0,6370524.0,-0.46871661006841947
AF100646,Sunil Malhotra,R&D,Tech Lead,4.0,2475495.0,-0.46797751163390444
AF103276,Kiran Bose,QA,Engineer,5.0,902159.0,-0.46794234265692225
AF102947,Ritika Mehta,Consulting,Director,4.0,6377590.0,-0.46716358009453884
AF100313,Vikram Mehta,Sales,VP,4.0,19884793.0,-0.4666457148174672
AF104620,Neha Verma,Sales,Tech Lead,4.0,2491836.0,-0.4614602824268772
AF100601,Saanvi Khan,Delivery,Engineer,4.0,903784.0,-0.46111761122954675
AF102357,Rohan Reddy,IT,Engineer,4.0,905758.0,-0.46008879318790186
AF102904,Rohan Singh,HR,Engineer,5.0,909717.0,-0.45800498442071813
AF100773,Priya Das,Consulting,Tech Lead,4.0,2499829.0,-0.45709814975602114
